alpha,mass_up_quark,mass_down_quark,fitness
0.007296,3.8840374151450184e-30,7.828496122132646e-30,1.000000
0.007302,4.178347407489706e-30,8.202117987925053e-30,0.999997
0.007270,3.583088972016924e-30,8.778363983724953e-30,0.999906
0.007295,4.194699143473828e-30,6.767653310280882e-30,0.999999
0.007288,3.484192541098446e-30,8.117392999187407e-30,0.999988
0.007318,4.3804896487165495e-30,9.354498930007888e-30,0.999949
0.007324,4.216277266294552e-30,7.877720595496705e-30,0.999911
0.007300,4.126541050670366e-30,9.405443579591194e-30,0.999999
0.007285,4.127737663100357e-30,8.812712724788016e-30,0.999982
0.007316,4.2948631129054066e-30,7.762549138775887e-30,0.999958
0.007299,3.797136808710647e-30,9.445981317943559e-30,1.000000
0.007293,3.640886876332783e-30,8.260533898938164e-30,0.999998
0.007275,3.836891385890759e-30,9.583314685559898e-30,0.999938
0.007310,3.738057156361079e-30,8.305629696006536e-30,0.999981
0.007308,4.065039969380734e-30,9.438550317460324e-30,0.999986
0.007293,3.481110042484161e-30,7.336699571132291e-30,0.999998
0.007293,3.630884713352693e-30,6.620803224329177e-30,0.999997
0.007306,3.999035152577805e-30,7.447181078820622e-30,0.999991
0.007306,3.9820028183640025e-30,8.429177271716277e-30,0.999990
0.007291,4.184806889086358e-30,9.496920474125023e-30,0.999996
0.007293,3.578944095335727e-30,9.715252671741501e-30,0.999998
0.007317,4.39488259419878e-30,8.011041912177385e-30,0.999951
0.007289,3.8151738227768746e-30,9.157475473092076e-30,0.999991
0.007294,3.527977844216412e-30,7.680036701733001e-30,0.999999
0.007260,3.616381130493899e-30,9.834035247188905e-30,0.999827
0.007292,4.1883366104058555e-30,9.233937976095548e-30,0.999996
0.007289,4.448739841261781e-30,7.93500551580446e-30,0.999992
0.007297,4.132697794866249e-30,9.487863734959763e-30,1.000000
0.007311,4.062895072671156e-30,6.908274503323348e-30,0.999976
0.007310,4.2797518524584154e-30,7.993617218316443e-30,0.999979
0.007304,3.615135153283622e-30,8.286318169699651e-30,0.999995
0.007295,3.650472558491283e-30,9.076510885499746e-30,0.999999
0.007293,3.86789386551212e-30,9.323501477936759e-30,0.999998
0.007303,3.625991759550395e-30,8.059662600007664e-30,0.999995
0.007293,3.237906451249669e-30,8.708476220275409e-30,0.999997
0.007294,3.507058419444808e-30,7.306067413736915e-30,0.999999
0.007307,4.377287327104468e-30,7.73484131081508e-30,0.999988
0.007299,4.3649349335337654e-30,6.906920645755509e-30,1.000000
0.007273,4.464321245466774e-30,8.607577344170664e-30,0.999927
0.007287,3.498472156363045e-30,1.0265775316607104e-29,0.999988
0.007290,3.5842078178436564e-30,9.175732286749518e-30,0.999993
0.007288,4.407457907629087e-30,8.793669395251953e-30,0.999989
0.007314,4.238828613404524e-30,8.836706464346589e-30,0.999965
0.007300,4.5799887619686196e-30,8.210323010541538e-30,0.999999
0.007293,3.96885520112478e-30,8.30176061372724e-30,0.999998
0.007310,3.623988113250267e-30,8.965007298082715e-30,0.999981
0.007319,4.3025651517152894e-30,8.359474450661184e-30,0.999943
0.007306,3.9889514853338416e-30,8.3729260798939e-30,0.999990
0.007317,3.862305821957193e-30,7.640772380461124e-30,0.999952
0.007289,3.445326501823797e-30,8.509655655304584e-30,0.999990
0.007302,3.521580132307423e-30,7.614417805321241e-30,0.999998
0.007298,3.955780650815415e-30,8.946460193550155e-30,1.000000
0.007299,3.5004888049530805e-30,8.772618381995608e-30,1.000000
0.007319,3.831370854511407e-30,9.132274251425511e-30,0.999943
0.007314,3.544770525951394e-30,6.758613011186318e-30,0.999965
0.007299,4.124748269689933e-30,7.78957226430847e-30,0.999999
0.007324,3.691069334344476e-30,9.644355579019808e-30,0.999912
0.007304,3.795044031268659e-30,7.500773153769644e-30,0.999995
0.007263,4.456500365729737e-30,8.933381022569393e-30,0.999854
0.007294,3.651656861301777e-30,7.791387104697218e-30,0.999999
0.007311,4.042802192461701e-30,9.367363177825185e-30,0.999978
0.007306,3.6118522516035936e-30,7.941808465021596e-30,0.999992
0.007302,4.464829005686008e-30,8.006219010122885e-30,0.999998
0.007300,4.564101201473078e-30,7.894486013021049e-30,0.999999
0.007287,3.487531651276374e-30,8.640996880475652e-30,0.999987
0.007282,3.797571130233128e-30,8.251334752605838e-30,0.999971
0.007310,4.0811807415872046e-30,8.574088194555826e-30,0.999980
